,File,Cluster,UMAP_1,UMAP_2
0,0,0,10.620257,-11.426224
1,1,0,10.290865,-10.393239
2,2,0,15.319999,1.3661493
3,3,0,11.243364,-10.618667
4,4,0,10.259544,-11.012711
5,5,0,10.676687,-10.551432
6,6,1,-5.139234,5.485271
7,7,1,-4.9363503,5.5172567
8,8,0,10.461627,-12.278079
9,9,0,-4.6020126,-6.2238016
10,10,0,-4.733342,-5.799215
11,11,1,-5.259088,5.363116
12,12,0,15.532219,1.5941802
13,13,0,15.600481,0.9764738
14,14,0,10.657528,-10.784488
15,15,0,9.986145,-11.301091
16,16,1,-5.430342,6.362127
17,17,0,10.711823,-12.118709
18,18,0,11.059986,-10.9885845
19,19,0,15.46854,1.5806754
20,20,0,10.270067,-10.602439
21,21,0,10.779305,-10.255847
22,22,1,-4.948903,5.19751
23,23,1,-5.0928063,6.099047
24,24,0,11.209022,-11.503371
25,25,0,10.191307,-11.606793
26,26,0,9.7806635,-10.578443
27,27,0,9.899295,-10.846755
28,28,0,15.332861,1.1426152
29,29,0,-5.122501,-5.962709
30,30,0,10.840133,-11.46896
31,31,0,-5.0517263,-6.170333
32,32,1,-4.743958,5.7413497
33,33,0,15.808069,1.2513609
34,34,0,10.302835,-12.422635
35,35,0,-4.896767,-5.6996984
36,36,1,-5.3439,6.301108
37,37,0,-4.458788,-5.946923
38,38,0,14.920524,1.3717813
39,39,0,15.262053,0.81937075
